facility,,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(4V17) (549GJ) Sherman, TX",,905,,890,,98.34%,,15,,1.66%,,771,,55,,64,,12,,2,,1,,0,,4.06,,5.75,,2.33,,,
"(4V17) (549GK) Polk Street, TX",,"1,093",,"1,080",,98.81%,,13,,1.19%,,994,,46,,40,,10,,3,,0,,0,,2.89,,0,,1.03,,,
"(4V17) (549GL) Plano, TX",,"2,053",,"1,972",,96.05%,,81,,3.95%,,"1,777",,109,,86,,50,,13,,5,,13,,4.16,,15.06,,8.45,,,
"(4V17) (549GM) Grand Prairie, TX",,"1,006",,995,,98.91%,,11,,1.09%,,921,,45,,29,,6,,4,,1,,0,,1.82,,,,3.57,,,
"(4V17) (549QC) Tyler Broadway, TX",,"1,942",,"1,824",,93.92%,,118,,6.08%,,"1,512",,167,,145,,66,,35,,8,,9,,5.45,,15.19,,7.2,,,
"(4V17) (671) San Antonio, TX HCS",,"64,644",,"60,952",,94.29%,,"3,692",,5.71%,,"53,135",,"3,694",,"4,123",,"2,802",,585,,148,,157,,4.01,,8.48,,4.48,,,
"(4V17) (671) San Antonio, TX (Audie L. Murphy)",,"34,925",,"32,447",,92.90%,,"2,478",,7.10%,,"28,175",,"1,773",,"2,499",,"1,950",,390,,74,,64,,5.76,,8.28,,4.56,,,
"(4V17) (671A4) Kerrville, TX",,"3,944",,"3,802",,96.40%,,142,,3.60%,,"3,322",,261,,219,,105,,32,,2,,3,,3.75,,4.91,,2.51,,,
"(4V17) (671BU) San Antonio, TX - VADOM",,241,,238,,98.76%,,3,,1.24%,,232,,4,,2,,2,,0,,1,,0,,,,,,0.26,,,
"(4V17) (671BY) San Antonio Eckert Road, TX (Frank M. Tejeda)",,"5,903",,"5,744",,97.31%,,159,,2.69%,,"5,126",,341,,277,,123,,17,,11,,8,,3.15,,4.05,,4.97,,,
(4V17) (671DT) Unknown,,3,,3,,100.00%,,0,,0.00%,,3,,0,,0,,0,,0,,0,,0,,,,,,0,,,
"(4V17) (671GB) Victoria, TX",,954,,943,,98.85%,,11,,1.15%,,833,,47,,63,,9,,2,,0,,0,,3.13,,6.24,,1.72,,,
"(4V17) (671GF) South Bexar County, TX",,"1,561",,"1,525",,97.69%,,36,,2.31%,,"1,362",,83,,80,,32,,2,,0,,2,,4.11,,1.6,,3.51,,,
"(4V17) (671GH) Beeville, TX",,177,,175,,98.87%,,2,,1.13%,,166,,5,,4,,0,,1,,0,,1,,15.93,,,,,,,
"(4V17) (671GK) San Antonio Woodcock Drive, TX",,"1,943",,"1,918",,98.71%,,25,,1.29%,,"1,674",,153,,91,,18,,3,,0,,4,,3.85,,,,0.1,,,
"(4V17) (671GL) New Braunfels, TX",,647,,632,,97.68%,,15,,2.32%,,479,,68,,85,,14,,1,,0,,0,,5.85,,,,,,,
"(4V17) (671GN) Seguin, TX",,160,,158,,98.75%,,2,,1.25%,,148,,4,,6,,2,,0,,0,,0,,1.99,,,,,,,
"(4V17) (671GO) North Central Federal, TX",,"3,560",,"3,490",,98.03%,,70,,1.97%,,"3,015",,252,,223,,48,,12,,1,,9,,3.35,,4.95,,6.3,,,
"(4V17) (671GP) Balcones Heights, TX",,"2,610",,"2,582",,98.93%,,28,,1.07%,,"2,332",,147,,103,,18,,1,,4,,5,,3.25,,4.02,,3.24,,,
"(4V17) (671GQ) Shavano Park, TX",,"1,256",,"1,253",,99.76%,,3,,0.24%,,"1,127",,80,,46,,3,,0,,0,,0,,2.38,,,,2.58,,,
(4V17) (671PA) San Antonio SARRTP,,153,,142,,92.81%,,11,,7.19%,,117,,6,,19,,10,,1,,0,,0,,,,,,0.21,,,
"(4V17) (671QB) Data Point, TX",,"6,607",,"5,900",,89.30%,,707,,10.70%,,"5,024",,470,,406,,468,,123,,55,,61,,,,10.27,,,,,
"(4V17) (674) Temple, TX HCS",,"67,113",,"62,573",,93.24%,,"4,540",,6.76%,,"54,398",,"3,858",,"4,317",,"2,971",,958,,302,,309,,5.79,,9.67,,8.04,,,
"(4V17) (674) Temple, TX (Olin E. Teague Center)",,"36,469",,"33,830",,92.76%,,"2,639",,7.24%,,"29,179",,"2,235",,"2,416",,"1,683",,558,,188,,210,,7.83,,9.89,,9.42,,,
"(4V17) (674A4) Waco, TX (Doris Miller)",,"6,321",,"5,949",,94.11%,,372,,5.89%,,"5,310",,313,,326,,235,,86,,30,,21,,6.4,,10.27,,3.25,,,
"(4V17) (674BY) Austin, TX",,"17,674",,"16,446",,93.05%,,"1,228",,6.95%,,"14,226",,"1,001",,"1,219",,840,,259,,66,,63,,4.23,,9.07,,8.81,,,
"(4V17) (674GA) Palestine, TX",,742,,730,,98.38%,,12,,1.62%,,685,,23,,22,,11,,0,,1,,0,,1.71,,10.75,,2.35,,,
"(4V17) (674GB) Brownwood, TX",,902,,846,,93.79%,,56,,6.21%,,764,,38,,44,,43,,11,,2,,0,,4.51,,24.37,,3.17,,,
"(4V17) (674GC) Bryan, TX",,"1,399",,"1,299",,92.85%,,100,,7.15%,,"1,101",,78,,120,,71,,20,,4,,5,,7.36,,11.64,,9.01,,,
"(4V17) (674GD) Cedar Park, TX",,"2,034",,"1,956",,96.17%,,78,,3.83%,,"1,740",,110,,106,,49,,18,,7,,4,,3.73,,5.03,,7.1,,,
"(4V17) (674GF) Temple South General Bruce Drive, TX",,"1,294",,"1,242",,95.98%,,52,,4.02%,,"1,125",,56,,61,,37,,6,,3,,6,,5.42,,4.28,,9.11,,,
"(4V17) (674HB) LaGrange, TX",,278,,275,,98.92%,,3,,1.08%,,268,,4,,3,,2,,0,,1,,0,,1.04,,,,1.72,,,
"(4V17) (504) Amarillo, TX HCS",,"15,205",,"14,668",,96.47%,,537,,3.53%,,"13,373",,662,,633,,377,,114,,29,,17,,3.22,,6.29,,1.7,,,
"(4V17) (504) Amarillo, TX (Thomas E. Creek)",,"10,264",,"9,836",,95.83%,,428,,4.17%,,"8,956",,473,,407,,284,,104,,26,,14,,3.1,,6.63,,2.1,,,
"(4V17) (504BY) Lubbock, TX",,"4,116",,"4,032",,97.96%,,84,,2.04%,,"3,659",,167,,206,,69,,10,,3,,2,,3.19,,4.79,,1.12,,,
"(4V17) (504BZ) Clovis, NM",,734,,717,,97.68%,,17,,2.32%,,684,,21,,12,,17,,0,,0,,0,,2.63,,,,1.33,,,
"(4V17) (504GA) Childress, TX",,46,,43,,93.48%,,3,,6.52%,,39,,0,,4,,3,,0,,0,,0,,5.56,,,,0,,,
"(4V17) (504HB) Dalhart, TX",,45,,40,,88.89%,,5,,11.11%,,35,,1,,4,,4,,0,,0,,1,,14.31,,0,,0,,,
"(4V17) (519) Big Spring, TX HCS",,"6,976",,"6,709",,96.17%,,267,,3.83%,,"5,953",,372,,384,,224,,30,,8,,5,,3.31,,6.32,,4.89,,,
"(4V17) (519) Big Spring, TX (George H. OBrien, Jr.)",,"2,786",,"2,636",,94.62%,,150,,5.38%,,"2,327",,128,,181,,128,,17,,3,,2,,3.18,,6.56,,3.16,,,
"(4V17) (519GA) Permian Basin, TX",,"1,136",,"1,102",,97.01%,,34,,2.99%,,987,,62,,53,,25,,4,,3,,2,,2.54,,7.64,,6.89,,,
"(4V17) (519GB) Hobbs, NM",,260,,254,,97.69%,,6,,2.31%,,237,,10,,7,,3,,2,,1,,0,,2.82,,59,,1.98,,,
"(4V17) (519GD) Fort Stockton, TX",,48,,47,,97.92%,,1,,2.08%,,40,,5,,2,,1,,0,,0,,0,,2.76,,,,,,,
"(4V17) (519HC) Abilene, TX",,"1,776",,"1,722",,96.96%,,54,,3.04%,,"1,514",,115,,93,,45,,7,,1,,1,,4.22,,3.78,,6.33,,,
"(4V17) (519HF) San Angelo, TX",,970,,948,,97.73%,,22,,2.27%,,848,,52,,48,,22,,0,,0,,0,,2.81,,7,,4.28,,,
"(4V17) (756) El Paso, TX HCS",,"19,319",,"18,658",,96.58%,,661,,3.42%,,"16,322",,"1,235",,"1,101",,546,,65,,11,,39,,5.07,,4.39,,5.27,,,
"(4V17) (756) El Paso, TX",,"15,010",,"14,502",,96.62%,,508,,3.38%,,"12,862",,889,,751,,409,,56,,8,,35,,5.65,,4.22,,3.99,,,
"(4V17) (756GA) Las Cruces, NM",,"1,790",,"1,742",,97.32%,,48,,2.68%,,"1,509",,113,,120,,48,,0,,0,,0,,4.33,,0.48,,4.53,,,
"(4V17) (756GB) El Paso Eastside, TX",,"1,953",,"1,869",,95.70%,,84,,4.30%,,"1,618",,146,,105,,69,,9,,3,,3,,4.09,,4.44,,10.5,,,
(4V17) (756MA) IDES Fort Bliss,,260,,251,,96.54%,,9,,3.46%,,76,,64,,111,,9,,0,,0,,0,,,,11.38,,22.8,,,
"(4V17) (756QB) El Paso Central, TX",,306,,294,,96.08%,,12,,3.92%,,257,,23,,14,,11,,0,,0,,1,,,,8.11,,,,,
(4V17) (740) Texas Valley Coastal Bend HCS,,"22,162",,"21,493",,96.98%,,669,,3.02%,,"19,664",,"1,022",,807,,454,,125,,31,,59,,2.87,,7.83,,1.52,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(4V17) (740) Harlingen, TX",,"4,336",,"4,146",,95.62%,,190,,4.38%,,"3,609",,282,,255,,127,,43,,9,,11,,,,8.38,,1.68,,,
"(4V17) (740GA) Harlingen Treasure Hills, TX",,"3,920",,"3,831",,97.73%,,89,,2.27%,,"3,651",,108,,72,,62,,19,,2,,6,,2.4,,3.22,,0.7,,,
"(4V17) (740GB) McAllen, TX",,"6,079",,"6,015",,98.95%,,64,,1.05%,,"5,599",,289,,127,,47,,12,,2,,3,,1.73,,6.82,,1.17,,,
"(4V17) (740GC) Corpus Christi, TX",,"2,939",,"2,843",,96.73%,,96,,3.27%,,"2,674",,84,,85,,74,,7,,1,,14,,4.84,,0.1,,0.32,,,
"(4V17) (740GD) Laredo, TX",,"1,847",,"1,813",,98.16%,,34,,1.84%,,"1,684",,51,,78,,18,,6,,1,,9,,3.63,,0.54,,1.22,,,
"(4V17) (740GH) South Enterprize, TX",,"3,030",,"2,834",,93.53%,,196,,6.47%,,"2,436",,208,,190,,126,,38,,16,,16,,1.33,,10.14,,2.83,,,
"(4V17) (740GI) Old Brownsville, TX",,11,,11,,100.00%,,0,,0.00%,,11,,0,,0,,0,,0,,0,,0,,,,,,0,,,
"(4V19) (623) Muskogee, OK HCS",,"24,835",,"23,466",,94.49%,,"1,369",,5.51%,,"20,734",,"1,331",,"1,401",,974,,309,,60,,26,,4.43,,7.97,,7.14,,,
"(4V19) (623) Muskogee, OK (Jack C. Montgomery)",,"11,349",,"10,792",,95.09%,,557,,4.91%,,"9,514",,591,,687,,426,,103,,12,,16,,4.4,,7.06,,8.45,,,
"(4V19) (623BY) Tulsa, OK (Ernest Childers)",,"7,805",,"7,254",,92.94%,,551,,7.06%,,"6,292",,492,,470,,354,,150,,43,,4,,5.02,,11.25,,2.39,,,
"(4V19) (623GA) McAlester, OK",,876,,844,,96.35%,,32,,3.65%,,779,,31,,34,,27,,4,,0,,1,,3.93,,0,,3.35,,,
"(4V19) (623GB) Vinita, OK",,842,,832,,98.81%,,10,,1.19%,,765,,38,,29,,7,,3,,0,,0,,1.83,,3.14,,4.52,,,
"(4V19) (623GC) McCurtain County, OK",,424,,420,,99.06%,,4,,0.94%,,407,,10,,3,,3,,0,,0,,1,,1.69,,,,0.47,,,
"(4V19) (623QA) Muskogee East, OK",,567,,531,,93.65%,,36,,6.35%,,472,,34,,25,,27,,6,,2,,1,,,,,,6.68,,,
"(4V19) (623QB) Tulsa Eleventh Street, OK",,"2,262",,"2,087",,92.26%,,175,,7.74%,,"1,826",,116,,145,,129,,42,,3,,1,,,,20.2,,8.47,,,
"(4V19) (623QC) Yale Avenue, OK",,710,,706,,99.44%,,4,,0.56%,,679,,19,,8,,1,,1,,0,,2,,,,1.67,,,,,
"(4V19) (635) Oklahoma City, OK HCS",,"43,620",,"41,855",,95.95%,,"1,765",,4.05%,,"37,998",,"1,832",,"2,025",,"1,191",,390,,109,,75,,2.66,,7.18,,4.44,,,
"(4V19) (635) Oklahoma City, OK",,"30,566",,"28,930",,94.65%,,"1,636",,5.35%,,"25,848",,"1,394",,"1,688",,"1,086",,378,,105,,67,,3.54,,7.93,,5.22,,,
"(4V19) (635GA) Lawton, OK",,"4,624",,"4,553",,98.46%,,71,,1.54%,,"4,239",,188,,126,,54,,9,,0,,8,,5.22,,3.46,,2.1,,,
"(4V19) (635GB) Wichita Falls, TX",,"1,022",,"1,013",,99.12%,,9,,0.88%,,946,,40,,27,,9,,0,,0,,0,,1.16,,4.4,,3.01,,,
"(4V19) (635GC) Blackwell, OK",,153,,152,,99.35%,,1,,0.65%,,144,,3,,5,,1,,0,,0,,0,,0.75,,3,,14.83,,,
"(4V19) (635GD) Ada, OK",,355,,355,,100.00%,,0,,0.00%,,347,,3,,5,,0,,0,,0,,0,,0.04,,1.4,,2.13,,,
"(4V19) (635GE) Stillwater, OK",,536,,532,,99.25%,,4,,0.75%,,509,,13,,10,,4,,0,,0,,0,,1,,0.6,,2.53,,,
"(4V19) (635GF) Altus, OK",,280,,278,,99.29%,,2,,0.71%,,253,,14,,11,,2,,0,,0,,0,,1.44,,4.71,,3.8,,,
"(4V19) (635GG) Enid, OK",,148,,146,,98.65%,,2,,1.35%,,135,,3,,8,,2,,0,,0,,0,,2.52,,0,,3.33,,,
"(4V19) (635HB) Ardmore, OK",,465,,465,,100.00%,,0,,0.00%,,425,,31,,9,,0,,0,,0,,0,,2.74,,1.38,,0.81,,,
"(4V19) (635QA) North May, OK",,"1,381",,"1,370",,99.20%,,11,,0.80%,,"1,290",,36,,44,,11,,0,,0,,0,,2.17,,0.03,,3.68,,,
"(4V19) (635QB) South Oklahoma City, OK",,"3,289",,"3,260",,99.12%,,29,,0.88%,,"3,085",,92,,83,,22,,3,,4,,0,,0.84,,1.17,,4.16,,,
"(4V19) (635QC) Fourteenth Street, OK",,801,,801,,100.00%,,0,,0.00%,,777,,15,,9,,0,,0,,0,,0,,0.97,,,,,,,
(4V19) (436) Montana HCS,,"20,163",,"18,915",,93.81%,,"1,248",,6.19%,,"16,476",,"1,216",,"1,223",,743,,317,,107,,81,,5.07,,10.92,,3.36,,,
"(4V19) (436) Fort Harrison, MT",,"6,697",,"6,141",,91.70%,,556,,8.30%,,"5,060",,579,,502,,319,,155,,56,,26,,4.17,,13.92,,4.5,,,
"(4V19) (436A4) Miles City CLC, MT",,314,,299,,95.22%,,15,,4.78%,,261,,13,,25,,15,,0,,0,,0,,2.27,,,,0.27,,,
"(4V19) (436GA) Anaconda, MT",,445,,433,,97.30%,,12,,2.70%,,390,,21,,22,,7,,4,,0,,1,,3.15,,3.75,,4.74,,,
"(4V19) (436GB) Great Falls, MT",,"1,645",,"1,586",,96.41%,,59,,3.59%,,"1,454",,56,,76,,37,,14,,7,,1,,4.17,,3,,3.15,,,
"(4V19) (436GC) Missoula, MT (David J. Thatcher)",,"2,214",,"2,130",,96.21%,,84,,3.79%,,"1,953",,69,,108,,48,,29,,3,,4,,3.04,,8.02,,1.78,,,
"(4V19) (436GD) Bozeman, MT",,"1,012",,993,,98.12%,,19,,1.88%,,901,,57,,35,,13,,4,,1,,1,,3.53,,4.38,,2.3,,,
"(4V19) (436GF) Kalispell, MT",,"1,825",,"1,744",,95.56%,,81,,4.44%,,"1,572",,96,,76,,44,,23,,10,,4,,4.63,,12.4,,3.75,,,
"(4V19) (436GH) Billings Majestic Lane, MT (Benjamin Charles Steele)",,"3,079",,"2,902",,94.25%,,177,,5.75%,,"2,501",,183,,218,,100,,43,,11,,23,,,,7.72,,3.31,,,
"(4V19) (436GI) Glasgow, MT",,113,,112,,99.12%,,1,,0.88%,,91,,14,,7,,0,,1,,0,,0,,3.37,,5.4,,7.09,,,
"(4V19) (436GK) Glendive, MT",,52,,51,,98.08%,,1,,1.92%,,44,,4,,3,,1,,0,,0,,0,,2.13,,0,,7.58,,,
"(4V19) (436GL) Cut Bank, MT",,124,,117,,94.35%,,7,,5.65%,,109,,1,,7,,7,,0,,0,,0,,3.11,,,,5.25,,,
"(4V19) (436GM) Lewistown, MT",,203,,194,,95.57%,,9,,4.43%,,156,,18,,20,,9,,0,,0,,0,,5.72,,6.05,,3.9,,,
"(4V19) (436GN) Billings Spring Creek Lane, MT (Dr.
Joseph Medicine Crow)",,"1,670",,"1,495",,89.52%,,175,,10.48%,,"1,346",,64,,85,,119,,31,,10,,15,,9.49,,4.31,,,,,
"(4V19) (436HC) Havre, MT (Merril Lundman)",,200,,185,,92.50%,,15,,7.50%,,177,,2,,6,,4,,3,,5,,3,,11.11,,18.8,,3.35,,,
(4V19) (436MA) IDES Malmstrom AFB,,3,,3,,100.00%,,0,,0.00%,,3,,0,,0,,0,,0,,0,,0,,,,0,,,,,
"(4V19) (436QA) Hamilton, MT",,250,,236,,94.40%,,14,,5.60%,,204,,15,,17,,8,,4,,0,,2,,4.66,,8.5,,5.78,,,
"(4V19) (436QB) Plentywood, MT",,26,,26,,100.00%,,0,,0.00%,,24,,0,,2,,0,,0,,0,,0,,1.4,,21,,1,,,
"(4V19) (436QC) Helena, MT",,291,,268,,92.10%,,23,,7.90%,,230,,24,,14,,12,,6,,4,,1,,,,,,,,,
"(4V19) (442) Cheyenne, WY HCS",,"13,920",,"13,207",,94.88%,,713,,5.12%,,"11,254",,875,,"1,078",,547,,135,,17,,14,,4.51,,6.31,,5.29,,,
"(4V19) (442) Cheyenne, WY",,"7,591",,"7,229",,95.23%,,362,,4.77%,,"6,126",,474,,629,,284,,61,,8,,9,,3.93,,5.57,,4.78,,,
"(4V19) (442GB) Sidney, NE",,260,,241,,92.69%,,19,,7.31%,,185,,23,,33,,17,,1,,1,,0,,7.77,,7.54,,4.9,,,
"(4V19) (442GC) Fort Collins, CO",,"1,982",,"1,926",,97.17%,,56,,2.83%,,"1,654",,140,,132,,50,,4,,0,,2,,4,,3.03,,6.04,,,
"Completed Appointment Wait Times National, Facility, and Division Level Summaries. Wait Time Measured from Preferred Date For the Reporting Period Ending: December 2019",,Total Completed Appointments 1,,"Completed within 30
Days 2",,Percent Appts Complete d in 30 Days or Less 3,,Completed in Over 30 Days 4,,Percent Appts Complete d in Over 30 Days 5,,"Completed 06
-7 Days 6",,"Completed 8-14
Days 7",,"Completed 15-30
Days 8",,"Completed 31-60 Days
9",,"Completed 61-90
Days 10",,"Completed 91-120
Days 11",,Completed in more than 120 Days 12,,PC Avg Wait Time in Days 13,,SC Avg Wait Time in Days 14,,MH Avg Wait Time in Days 15,,,
"(4V19) (442GD) Loveland, CO",,"3,693",,"3,420",,92.61%,,273,,7.39%,,"2,931",,226,,263,,193,,69,,8,,3,,6.1,,8.62,,5.45,,,
"(4V19) (442HK) Wheatland, WY - Mobile",,29,,29,,100.00%,,0,,0.00%,,23,,3,,3,,0,,0,,0,,0,,2.85,,,,7,,,
"(4V19) (442QA) Rawlins, WY",,181,,181,,100.00%,,0,,0.00%,,178,,1,,2,,0,,0,,0,,0,,0.08,,4.57,,3.3,,,
"(4V19) (442QB) Torrington, WY - Mobile",,76,,75,,98.68%,,1,,1.32%,,71,,3,,1,,1,,0,,0,,0,,1.39,,,,3.67,,,
"(4V19) (442QD) Laramie, WY - Mobile",,55,,55,,100.00%,,0,,0.00%,,44,,2,,9,,0,,0,,0,,0,,2.62,,,,7.94,,,
"(4V19) (442QE) Sterling, CO",,53,,51,,96.23%,,2,,3.77%,,42,,3,,6,,2,,0,,0,,0,,4.08,,,,10,,,
"(4V19) (554) Aurora, CO HCS",,"52,063",,"47,292",,90.84%,,"4,771",,9.16%,,"39,845",,"3,193",,"4,254",,"3,242",,"1,048",,323,,158,,6.57,,10.67,,5.91,,,
"(4V19) (554) Aurora, CO (Rocky Mountain",,"26,562",,"23,738",,89.37%,,"2,824",,10.63%,,"20,153",,"1,514",,"2,071",,"1,817",,690,,227,,90,,8.53,,10.61,,5.28,,,
"(4V19) (554A5) Denver, CO - VADOM",,3,,3,,100.00%,,0,,0.00%,,3,,0,,0,,0,,0,,0,,0,,,,,,0,,,
"(4V19) (554GB) Aurora, CO",,"1,595",,"1,511",,94.73%,,84,,5.27%,,"1,277",,102,,132,,72,,10,,0,,2,,6.84,,3,,2.56,,,
"(4V19) (554GC) Golden, CO",,"4,877",,"4,522",,92.72%,,355,,7.28%,,"3,656",,361,,505,,290,,56,,8,,1,,7.42,,9.96,,5.74,,,
"(4V19) (554GD) Pueblo, CO (PFC James Dunn)",,"4,064",,"3,636",,89.47%,,428,,10.53%,,"3,067",,234,,335,,295,,91,,18,,24,,7.73,,13.77,,7.93,,,
"(4V19) (554GE) Colorado Springs, CO (PFC Floyd K. Lindstrom)",,"11,504",,"10,717",,93.16%,,787,,6.84%,,"9,113",,745,,859,,512,,169,,65,,41,,5.05,,10.05,,6.46,,,
"(4V19) (554GF) Alamosa, CO",,328,,323,,98.48%,,5,,1.52%,,283,,23,,17,,5,,0,,0,,0,,2.01,,8.33,,5.26,,,
"(4V19) (554GG) La Junta, CO",,392,,384,,97.96%,,8,,2.04%,,349,,14,,21,,7,,1,,0,,0,,1.4,,1.83,,5.75,,,
"(4V19) (554GH) Lamar, CO",,213,,208,,97.65%,,5,,2.35%,,194,,7,,7,,3,,2,,0,,0,,1.34,,0,,6.25,,,
"(4V19) (554GI) Burlington, CO",,134,,134,,100.00%,,0,,0.00%,,128,,6,,0,,0,,0,,0,,0,,0.94,,1,,2.46,,,
"(4V19) (554GJ) Denver East 9th Avenue, CO",,936,,873,,93.27%,,63,,6.73%,,677,,89,,107,,60,,2,,1,,0,,8.26,,,,0.14,,,
(4V19) (554MA) IDES Fort Carson,,171,,168,,98.25%,,3,,1.75%,,133,,13,,22,,3,,0,,0,,0,,,,6.61,,1.9,,,
"(4V19) (554QA) York Street, CO",,14,,14,,100.00%,,0,,0.00%,,14,,0,,0,,0,,0,,0,,0,,,,,,,,,
"(4V19) (554QB) Jewell, CO",,"1,147",,943,,82.21%,,204,,17.79%,,703,,78,,162,,173,,27,,4,,0,,,,23.32,,,,,
"(4V19) (554QC) Salida, CO",,123,,118,,95.93%,,5,,4.07%,,95,,7,,16,,5,,0,,0,,0,,3.09,,13.14,,2.12,,,
"(4V19) (575) Grand Junction, CO HCS",,"9,896",,"9,477",,95.77%,,419,,4.23%,,"8,006",,705,,766,,354,,49,,12,,4,,3.74,,7.47,,3.47,,,
"(4V19) (575) Grand Junction, CO",,"8,701",,"8,326",,95.69%,,375,,4.31%,,"7,036",,603,,687,,316,,43,,12,,4,,3.75,,7.52,,3.54,,,
"(4V19) (575GA) Montrose, CO",,670,,645,,96.27%,,25,,3.73%,,522,,64,,59,,23,,2,,0,,0,,3.88,,7.15,,7.94,,,
"(4V19) (575GB) Craig, CO (Major William Edward Adams)",,174,,163,,93.68%,,11,,6.32%,,145,,13,,5,,7,,4,,0,,0,,4.06,,8.62,,1.92,,,
"(4V19) (575QA) Glenwood Springs, CO",,240,,232,,96.67%,,8,,3.33%,,208,,15,,9,,8,,0,,0,,0,,2.46,,8.94,,1.3,,,
"(4V19) (575QB) Moab, UT",,111,,111,,100.00%,,0,,0.00%,,95,,10,,6,,0,,0,,0,,0,,4.26,,2.47,,0.18,,,
"(4V19) (660) Salt Lake City, UT HCS",,"30,047",,"28,296",,94.17%,,"1,751",,5.83%,,"23,932",,"2,000",,"2,364",,"1,261",,323,,101,,66,,3.73,,8.97,,3.83,,,
"(4V19) (660) Salt Lake City, UT (George E. Wahlen)",,"21,909",,"20,421",,93.21%,,"1,488",,6.79%,,"16,900",,"1,556",,"1,965",,"1,063",,292,,85,,48,,3.88,,9.2,,2.16,,,
"(4V19) (660GA) Pocatello, ID",,"1,220",,"1,177",,96.48%,,43,,3.52%,,"1,034",,90,,53,,30,,5,,4,,4,,2.8,,5.81,,14.7,,,
"(4V19) (660GB) Ogden, UT",,"1,651",,"1,611",,97.58%,,40,,2.42%,,"1,416",,117,,78,,33,,7,,0,,0,,5.7,,3.83,,1.67,,,
"(4V19) (660GD) Roosevelt, UT",,75,,75,,100.00%,,0,,0.00%,,68,,4,,3,,0,,0,,0,,0,,1.63,,13,,0.5,,,
"(4V19) (660GE) Orem, UT",,"1,094",,"1,080",,98.72%,,14,,1.28%,,"1,039",,20,,21,,9,,2,,2,,1,,1.38,,12.04,,1.85,,,
"(4V19) (660GG) St. George, UT",,"1,427",,"1,376",,96.43%,,51,,3.57%,,"1,273",,54,,49,,38,,3,,4,,6,,4.1,,6.64,,8.5,,,
"(4V19) (660GJ) Western Salt Lake, UT",,"1,255",,"1,227",,97.77%,,28,,2.23%,,"1,070",,82,,75,,24,,3,,0,,1,,2.98,,7.15,,5.89,,,
"(4V19) (660GK) Elko, NV",,101,,89,,88.12%,,12,,11.88%,,42,,3,,44,,12,,0,,0,,0,,18.78,,11.33,,4.54,,,
(4V19) (660MA) IDES Hill AFB,,20,,20,,100.00%,,0,,0.00%,,20,,0,,0,,0,,0,,0,,0,,,,0,,0,,,
"(4V19) (660QA) Idaho Falls, ID",,891,,862,,96.75%,,29,,3.25%,,799,,37,,26,,20,,5,,3,,1,,1.48,,23.72,,15.25,,,
"(4V19) (660QB) Price, UT",,157,,148,,94.27%,,9,,5.73%,,127,,12,,9,,5,,1,,3,,0,,6.1,,7.25,,0,,,
"(4V19) (660QC) Weber County, UT",,247,,210,,85.02%,,37,,14.98%,,144,,25,,41,,27,,5,,0,,5,,,,,,15.21,,,
"(4V19) (666) Sheridan, WY HCS",,"5,816",,"5,665",,97.40%,,151,,2.60%,,"5,113",,273,,279,,118,,13,,6,,14,,5.95,,4.54,,3.12,,,
"(4V19) (666) Sheridan, WY",,"3,237",,"3,162",,97.68%,,75,,2.32%,,"2,862",,149,,151,,63,,8,,2,,2,,8.95,,4.66,,2,,,
"(4V19) (666GB) Casper, WY",,811,,790,,97.41%,,21,,2.59%,,692,,47,,51,,14,,1,,2,,4,,4.75,,3.95,,7.12,,,
"(4V19) (666GC) Riverton, WY",,455,,449,,98.68%,,6,,1.32%,,416,,18,,15,,6,,0,,0,,0,,2.13,,5.4,,0.9,,,
